Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CXCL10,0,2.46955957,0.607,0.069,0
IFITM1,0,2.421779825,0.837,0.063,0
IFITM3,0,2.2270542,0.97,0.485,0
IFIT2,0,2.081315032,0.872,0.218,0
IFIT1,0,1.877637875,0.922,0.153,0
CCL5,0,1.791718046,0.301,0.063,0
MT-ATP8,0,1.748664782,0.896,0.129,0
ISG15,0,1.748430641,0.979,0.583,0
TNFSF10,0,1.707317252,0.869,0.121,0
MX1,0,1.655748541,0.953,0.227,0
IFIT3,0,1.629925531,0.906,0.303,0
MTRNR2L12,0,1.537871405,0.872,0.035,0
MT-ND4L,0,1.519667997,0.933,0.436,0
TAOK1,0,1.432531894,0.784,0.17,0
CCL8,0,1.431804711,0.242,0.034,0
ISG20,0,1.390929032,0.706,0.061,0
GNLY,0,1.384169528,0.11,0.004,0
RSAD2,0,1.374851451,0.791,0.061,0
CCL2,0,1.323124429,0.238,0.068,0
ATP6V0C,0,1.295737603,0.815,0.04,0
IFI6,0,1.290824652,0.964,0.844,0
IL32,0,1.272598651,0.318,0.079,0
IFITM2,0,1.260984034,0.801,0.148,0
APOBEC3A,0,1.204854436,0.428,0.036,0
C1QC,7.08E-17,1.154671875,0.648,0.895,1.59E-12
OAS1,0,1.146624394,0.9,0.293,0
IFI30,0,1.135434862,0.679,0.557,0
HLA-C,0,1.126539372,0.998,0.994,0
IRF7,0,1.126082006,0.855,0.147,0
MT2A,0,1.1141937,0.9,0.61,0
ALDOA,0,1.069088783,0.872,0.298,0
HLA-E,0,1.038120959,0.994,0.824,0
CCL4,0,1.034899434,0.344,0.103,0
OASL,0,1.029736794,0.859,0.252,0
NKG7,0,1.017135108,0.246,0.027,0
CD3E,0,0.962831986,0.295,0.031,0
GZMA,0,0.961981046,0.221,0.024,0
HLA-A,0,0.961691389,0.998,0.997,0
CORO1A,0,0.959846689,0.398,0.075,0
LY6E,0,0.938275982,0.982,0.896,0
IFI44L,0,0.921138439,0.826,0.192,0
NME2,0,0.90409102,0.786,0.137,0
UBE2L6,0,0.903202688,0.888,0.291,0
