Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CCL2,0,3.047470256,0.859,0.126,0
CCL4L2,0,2.147952935,0.65,0.166,0
CCL8,0,2.097598906,0.725,0.106,0
CCL3L1,0,2.051633367,0.662,0.096,0
SPP1,0,1.95793684,0.376,0.021,0
CCL7,0,1.841411733,0.518,0.038,0
CCL3,0,1.740933686,0.785,0.166,0
CCL4,0,1.686642393,0.676,0.185,0
IL1RN,0,1.578505644,0.787,0.262,0
SAT1,0,1.531746345,0.982,0.944,0
S100A8,0,1.530448159,0.781,0.698,0
CTSL,0,1.492931407,0.884,0.745,0
CXCL8,0,1.467155044,0.432,0.022,0
RSAD2,0,1.450266353,0.883,0.311,0
ISG15,0,1.423057576,0.983,0.718,0
TIMP1,0,1.35344188,0.836,0.52,0
SOD2,0,1.346752804,0.825,0.336,0
KLF6,0,1.290620171,0.957,0.581,0
IFITM3,0,1.29048971,0.971,0.651,0
IFITM2,0,1.280526107,0.907,0.372,0
C15orf48,0,1.267547458,0.788,0.316,0
NFKBIA,0,1.265194096,0.85,0.322,0
TAOK1,0,1.227125638,0.932,0.38,0
H3F3B,0,1.205878123,0.997,0.915,0
SGK1,0,1.126328195,0.791,0.236,0
CXCL10,0,1.120906788,0.769,0.253,0
VAMP5,0,1.104933346,0.83,0.267,0
MT2A,0,1.084113536,0.959,0.709,0
BCL2A1,0,1.057048271,0.829,0.582,0
GBP1,0,1.055890806,0.868,0.38,0
APOBEC3A,0,1.05473199,0.709,0.17,0
NAMPT,0,1.046568785,0.808,0.45,0
ISG20,0,1.045915754,0.906,0.282,0
IFI27,0,1.033901807,0.902,0.556,0
CTSB,0,1.024751268,0.926,0.872,0
TYMP,0,0.969046128,0.954,0.834,0
NINJ1,0,0.968508741,0.647,0.159,0
HSPA1A,0,0.963041082,0.599,0.42,0
MAFB,0,0.956765587,0.769,0.278,0
SLPI,0,0.955004572,0.146,0.038,0
IFIT3,0,0.949671294,0.902,0.51,0
ZFP36,0,0.923431583,0.835,0.379,0
PLEK,0,0.891609864,0.779,0.462,0
IFITM1,0,0.878434096,0.951,0.328,0
